account_id,account_number,customer_id,account_type_id,branch_id,opening_date,current_balance,status,last_transaction_date
61,10000000061,61,4,79,2008-10-02,1680000.00,Active,2026-07-23
62,10000000062,62,1,80,2018-03-08,48000.00,Active,2026-07-20
63,10000000063,63,1,81,2012-08-15,335000.00,Active,2026-07-17
64,10000000064,64,1,82,2020-01-26,21000.00,Active,2026-07-22
65,10000000065,65,1,83,2015-06-18,178000.00,Active,2026-07-18
66,10000000066,66,4,84,2007-11-14,2450000.00,Active,2026-07-21
67,10000000067,67,1,85,2016-04-01,128000.00,Active,2026-07-19
68,10000000068,68,1,86,2019-08-15,38500.00,Active,2026-07-23
69,10000000069,69,1,87,2013-01-26,415000.00,Active,2026-07-20
70,10000000070,70,1,88,2021-03-23,16500.00,Active,2026-07-17
71,10000000071,71,4,89,2010-06-18,1320000.00,Active,2026-07-22
72,10000000072,72,1,90,2017-11-14,85000.00,Active,2026-07-18
73,10000000073,73,1,91,2014-04-14,255000.00,Active,2026-07-21
74,10000000074,74,1,92,2018-09-17,62500.00,Active,2026-07-19
75,10000000075,75,1,93,2015-02-28,195000.00,Active,2026-07-23
76,10000000076,76,1,95,2016-07-23,112000.00,Active,2026-07-20
77,10000000077,77,1,96,2011-12-31,475000.00,Active,2026-07-17
78,10000000078,78,1,97,2019-05-27,32500.00,Active,2026-07-22
79,10000000079,79,1,98,2015-10-02,168000.00,Active,2026-07-18
80,10000000080,80,1,99,2018-03-08,55500.00,Active,2026-07-21
81,10000000081,81,1,100,2014-08-15,305000.00,Active,2026-07-19
82,10000000082,82,1,101,2016-01-26,78500.00,Active,2026-07-23
83,10000000083,83,1,102,2020-06-18,24000.00,Active,2026-07-20
84,10000000084,84,4,103,2009-11-14,1580000.00,Active,2026-07-17
85,10000000085,85,1,104,2017-04-01,95500.00,Active,2026-07-22
86,10000000086,86,1,105,2019-09-15,42500.00,Active,2026-07-18
87,10000000087,87,1,106,2013-02-28,365000.00,Active,2026-07-21
88,10000000088,88,1,107,2015-07-23,138000.00,Active,2026-07-19
89,10000000089,89,1,108,2014-12-31,285500.00,Active,2026-07-23
90,10000000090,90,1,109,2016-05-27,102000.00,Active,2026-07-20
91,10000000091,91,1,110,2011-10-31,545000.00,Active,2026-07-17
92,10000000092,92,1,111,2018-03-23,58500.00,Active,2026-07-22
93,10000000093,93,1,112,2015-08-15,218000.00,Active,2026-07-18
94,10000000094,94,1,113,2019-01-26,35500.00,Active,2026-07-21
95,10000000095,95,1,114,2012-06-18,398000.00,Active,2026-07-19
96,10000000096,96,1,115,2016-11-14,125500.00,Active,2026-07-23
97,10000000097,97,1,116,2014-04-01,275500.00,Active,2026-07-20
98,10000000098,98,1,117,2018-09-17,68500.00,Active,2026-07-17
99,10000000099,99,1,118,2011-02-28,485500.00,Active,2026-07-22
100,10000000100,100,1,119,2020-07-23,28500.00,Active,2026-07-18
101,10000000101,101,1,120,2015-12-31,175500.00,Active,2026-07-21
102,10000000102,102,1,3,2017-05-27,95500.00,Active,2026-07-19
103,10000000103,103,4,7,2008-10-02,1925000.00,Active,2026-07-23
104,10000000104,104,1,9,2018-03-08,52500.00,Active,2026-07-20
105,10000000105,105,1,10,2014-08-15,245000.00,Active,2026-07-17
106,10000000106,106,1,12,2016-01-26,118000.00,Active,2026-07-22
107,10000000107,107,1,13,2014-06-18,268000.00,Active,2026-07-18
108,10000000108,108,1,15,2018-11-14,72500.00,Active,2026-07-21
109,10000000109,109,1,17,2011-04-01,585000.00,Active,2026-07-19
110,10000000110,110,1,18,2016-09-17,108000.00,Active,2026-07-23
111,10000000111,111,1,20,2013-02-28,425000.00,Active,2026-07-20
112,10000000112,112,1,22,2019-07-23,38500.00,Active,2026-07-17
113,10000000113,113,4,24,2009-12-31,1685000.00,Active,2026-07-22
114,10000000114,114,1,25,2015-05-27,165000.00,Active,2026-07-18
115,10000000115,115,1,27,2017-10-02,98500.00,Active,2026-07-21
116,10000000116,116,1,28,2014-03-08,235000.00,Active,2026-07-19
117,10000000117,117,1,32,2015-08-15,188000.00,Active,2026-07-23
118,10000000118,118,1,34,2016-01-26,135500.00,Active,2026-07-20
119,10000000119,119,1,35,2010-06-18,525000.00,Active,2026-07-17
120,10000000120,120,1,106,2018-11-14,85500.00,Active,2026-07-22
121,20000000001,1,2,1,2016-01-15,1250000.00,Active,2026-07-21
122,20000000002,3,2,5,2013-06-20,2850000.00,Active,2026-07-19
123,20000000003,9,2,19,2011-03-10,4500000.00,Active,2026-07-23
124,20000000004,13,2,29,2009-08-25,6200000.00,Active,2026-07-20
125,20000000005,21,2,39,2010-12-05,3850000.00,Active,2026-07-17
126,20000000006,25,2,43,2012-04-18,2150000.00,Active,2026-07-22
127,20000000007,34,2,52,2008-09-30,5800000.00,Active,2026-07-18
128,20000000008,43,2,61,2011-07-12,3200000.00,Active,2026-07-21
129,20000000009,55,2,73,2012-11-28,1850000.00,Active,2026-07-19
130,20000000010,61,2,79,2009-05-15,4250000.00,Active,2026-07-23
131,30000000001,5,3,8,2015-01-01,185000.00,Active,2026-07-20
132,30000000002,11,3,23,2014-04-01,142000.00,Active,2026-07-17
133,30000000003,19,3,37,2015-07-01,198000.00,Active,2026-07-22
134,30000000004,27,3,45,2017-01-01,125000.00,Active,2026-07-18
135,30000000005,37,3,55,2015-10-01,215000.00,Active,2026-07-21
136,30000000006,47,3,65,2016-04-01,168000.00,Active,2026-07-19
137,30000000007,53,3,71,2015-01-01,205000.00,Active,2026-07-23
138,30000000008,59,3,77,2016-07-01,148000.00,Active,2026-07-20
139,30000000009,69,3,87,2014-01-01,232000.00,Active,2026-07-17
140,30000000010,75,3,93,2016-10-01,175000.00,Active,2026-07-22
