card_id,card_number,customer_id,card_type_id,credit_limit,available_limit,issue_date,expiry_date,status,billing_cycle_day
27,4532XXXXXXXX0027,53,2,140000.00,118000.00,2023-07-08,2028-07-31,Active,8
28,4532XXXXXXXX0028,55,6,680000.00,615000.00,2020-04-28,2025-04-30,Active,28
29,4532XXXXXXXX0029,57,1,90000.00,75000.00,2024-01-15,2029-01-31,Active,15
30,4532XXXXXXXX0030,59,3,125000.00,105000.00,2023-06-25,2028-06-30,Active,25
31,4532XXXXXXXX0031,61,7,1800000.00,1650000.00,2018-09-10,2028-09-30,Active,10
32,4532XXXXXXXX0032,63,5,240000.00,208000.00,2022-03-18,2027-03-31,Active,18
33,4532XXXXXXXX0033,65,2,115000.00,95000.00,2023-10-05,2028-10-31,Active,5
34,4532XXXXXXXX0034,67,4,100000.00,82000.00,2024-07-22,2029-07-31,Active,22
35,4532XXXXXXXX0035,69,8,420000.00,375000.00,2021-05-30,2026-05-31,Active,30
36,4532XXXXXXXX0036,71,6,550000.00,492000.00,2020-12-12,2025-12-31,Active,12
37,4532XXXXXXXX0037,73,3,95000.00,78000.00,2024-02-28,2029-02-28,Active,28
38,4532XXXXXXXX0038,75,5,260000.00,225000.00,2021-08-08,2026-08-31,Active,8
39,4532XXXXXXXX0039,77,6,480000.00,428000.00,2020-01-20,2025-01-31,Active,20
40,4532XXXXXXXX0040,79,2,105000.00,88000.00,2023-04-15,2028-04-30,Active,15
41,4532XXXXXXXX0041,81,5,210000.00,182000.00,2022-09-25,2027-09-30,Active,25
42,4532XXXXXXXX0042,83,10,50000.00,42000.00,2025-03-10,2030-03-31,Active,10
43,4532XXXXXXXX0043,85,3,130000.00,108000.00,2023-06-18,2028-06-30,Active,18
44,4532XXXXXXXX0044,87,8,350000.00,305000.00,2021-11-05,2026-11-30,Active,5
45,4532XXXXXXXX0045,89,5,185000.00,158000.00,2022-04-22,2027-04-30,Active,22
46,4532XXXXXXXX0046,91,6,620000.00,565000.00,2020-07-30,2025-07-31,Active,30
47,4532XXXXXXXX0047,93,2,125000.00,105000.00,2023-02-12,2028-02-28,Active,12
48,4532XXXXXXXX0048,95,5,275000.00,238000.00,2021-09-28,2026-09-30,Active,28
49,4532XXXXXXXX0049,97,3,115000.00,95000.00,2024-06-08,2029-06-30,Active,8
50,4532XXXXXXXX0050,99,8,400000.00,355000.00,2020-03-20,2025-03-31,Active,20
51,4532XXXXXXXX0051,2,1,65000.00,52000.00,2024-08-15,2029-08-31,Active,15
52,4532XXXXXXXX0052,4,10,45000.00,38000.00,2025-01-22,2030-01-31,Active,22
53,4532XXXXXXXX0053,6,10,40000.00,32000.00,2025-04-10,2030-04-30,Active,10
54,4532XXXXXXXX0054,8,1,55000.00,45000.00,2024-11-05,2029-11-30,Active,5
55,4532XXXXXXXX0055,10,10,48000.00,40000.00,2025-02-18,2030-02-28,Active,18
56,4532XXXXXXXX0056,12,1,70000.00,58000.00,2024-05-28,2029-05-31,Active,28
57,4532XXXXXXXX0057,14,10,52000.00,42000.00,2025-06-08,2030-06-30,Active,8
58,4532XXXXXXXX0058,16,1,50000.00,42000.00,2024-09-20,2029-09-30,Active,20
59,4532XXXXXXXX0059,18,10,38000.00,30000.00,2025-03-15,2030-03-31,Active,15
60,4532XXXXXXXX0060,20,1,62000.00,52000.00,2024-07-25,2029-07-31,Active,25
61,4532XXXXXXXX0061,22,10,42000.00,35000.00,2025-05-10,2030-05-31,Active,10
62,4532XXXXXXXX0062,24,4,75000.00,62000.00,2024-02-18,2029-02-28,Active,18
63,4532XXXXXXXX0063,26,2,95000.00,78000.00,2023-08-05,2028-08-31,Active,5
64,4532XXXXXXXX0064,28,3,108000.00,90000.00,2023-11-22,2028-11-30,Active,22
65,4532XXXXXXXX0065,30,1,58000.00,48000.00,2024-04-30,2029-04-30,Active,30
66,4532XXXXXXXX0066,32,10,35000.00,28000.00,2025-07-12,2030-07-31,Active,12
67,4532XXXXXXXX0067,34,7,1650000.00,1520000.00,2017-10-28,2027-10-31,Active,28
68,4532XXXXXXXX0068,36,2,110000.00,92000.00,2023-06-08,2028-06-30,Active,8
69,4532XXXXXXXX0069,38,3,98000.00,82000.00,2024-01-20,2029-01-31,Active,20
70,4532XXXXXXXX0070,40,10,45000.00,38000.00,2025-08-15,2030-08-31,Active,15
71,4532XXXXXXXX0071,42,1,52000.00,42000.00,2025-01-25,2030-01-31,Active,25
72,4532XXXXXXXX0072,44,2,88000.00,72000.00,2024-06-10,2029-06-30,Active,10
73,4532XXXXXXXX0073,46,10,40000.00,32000.00,2025-09-18,2030-09-30,Active,18
74,4532XXXXXXXX0074,48,1,55000.00,45000.00,2024-03-05,2029-03-31,Active,5
75,4532XXXXXXXX0075,50,10,38000.00,30000.00,2025-06-22,2030-06-30,Active,22
76,4532XXXXXXXX0076,52,4,82000.00,68000.00,2023-09-30,2028-09-30,Active,30
77,4532XXXXXXXX0077,54,3,92000.00,76000.00,2024-04-12,2029-04-30,Active,12
78,4532XXXXXXXX0078,56,1,60000.00,50000.00,2024-08-28,2029-08-31,Active,28
79,4532XXXXXXXX0079,58,10,42000.00,35000.00,2025-02-08,2030-02-28,Active,8
80,4532XXXXXXXX0080,60,2,85000.00,70000.00,2024-07-20,2029-07-31,Active,20
81,4532XXXXXXXX0081,62,1,58000.00,48000.00,2024-10-15,2029-10-31,Active,15
82,4532XXXXXXXX0082,64,10,35000.00,28000.00,2025-05-25,2030-05-31,Active,25
83,4532XXXXXXXX0083,66,7,1750000.00,1620000.00,2016-12-10,2026-12-31,Active,10
84,4532XXXXXXXX0084,68,10,40000.00,32000.00,2025-03-18,2030-03-31,Active,18
85,4532XXXXXXXX0085,70,1,50000.00,42000.00,2025-07-05,2030-07-31,Active,5
86,4532XXXXXXXX0086,72,3,95000.00,78000.00,2023-10-22,2028-10-31,Active,22
87,4532XXXXXXXX0087,74,2,82000.00,68000.00,2024-05-30,2029-05-31,Active,30
88,4532XXXXXXXX0088,76,4,88000.00,72000.00,2023-08-12,2028-08-31,Active,12
89,4532XXXXXXXX0089,78,1,55000.00,45000.00,2024-11-28,2029-11-30,Active,28
90,4532XXXXXXXX0090,80,10,38000.00,30000.00,2025-04-08,2030-04-30,Active,8
91,4532XXXXXXXX0091,82,1,52000.00,42000.00,2024-09-20,2029-09-30,Active,20
92,4532XXXXXXXX0092,84,7,1550000.00,1425000.00,2017-02-15,2027-02-28,Active,15
93,4532XXXXXXXX0093,86,10,42000.00,35000.00,2025-06-25,2030-06-30,Active,25
94,4532XXXXXXXX0094,88,3,100000.00,82000.00,2023-03-10,2028-03-31,Active,10
95,4532XXXXXXXX0095,90,2,90000.00,75000.00,2024-06-18,2029-06-30,Active,18
96,4532XXXXXXXX0096,92,1,58000.00,48000.00,2024-01-05,2029-01-31,Active,5
97,4532XXXXXXXX0097,94,10,35000.00,28000.00,2025-08-22,2030-08-31,Active,22
98,4532XXXXXXXX0098,96,4,78000.00,65000.00,2023-11-30,2028-11-30,Active,30
99,4532XXXXXXXX0099,98,1,55000.00,45000.00,2024-04-12,2029-04-30,Active,12
100,4532XXXXXXXX0100,100,10,40000.00,32000.00,2025-09-28,2030-09-30,Active,28
